,Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price,Age
4693,kia,sportage,2019,red,gas,automatic,1.6,-0.6883968358493213,makkah,75000,4
4694,toyota,hilux,2014,white,gas,automatic,2.7,-1.03561455519696,riyadh,75000,9
4695,toyota,prado,2010,white,gas,automatic,4.0,1.5947043429111314,makkah,75000,13
4696,toyota,fj,2014,gray,gas,automatic,9.0,1.732482262935604,hail,75000,9
4697,chevrolet,tahoe,2012,brown,gas,automatic,4.8,-0.273664559961864,hail,75000,11
4698,toyota,camry,2018,white,gas,automatic,2.5,0.9126626478092349,riyadh,75000,5
4699,hyundai,sonata,2019,brown,gas,automatic,2.4,-0.31224430655604607,riyadh,75000,4
4700,hyundai,azera,2018,gray,gas,automatic,3.5,0.6618942949470514,riyadh,75000,5
4701,toyota,fj,2013,white,gas,automatic,4.0,0.6522493582985059,riyadh,75000,10
4702,nissan,maxima,2017,white,gas,automatic,3.5,-0.4183386096900468,eastern,75000,6
4703,toyota,land cruiser,2015,brown,gas,automatic,4.0,0.4979303719217776,riyadh,75000,8
4704,toyota,corolla,2021,white,gas,cvt,1.5,-1.0857682257693968,eastern,75000,2
4705,hyundai,santa fe,2016,blue,gas,automatic,3.3,-0.29295443325895504,makkah,75000,7
4706,ford,explorer,2015,black,gas,automatic,2.7,0.11213290597995679,riyadh,75000,8
4707,chevrolet,tahoe,2014,white,gas,automatic,5.3,0.32432151224795824,riyadh,75000,9
4708,ford,taurus,2019,white,gas,automatic,2.0,0.2568069557081396,eastern,75000,4
4709,ford,taurus,2019,white,gas,automatic,2.0,-0.6401721526065938,riyadh,75000,4
4710,ford,taurus,2019,gray,gas,automatic,2.0,-0.03447013107793511,eastern,75000,4
4711,toyota,fj,2012,white,gas,automatic,4.0,1.3466847969937834,riyadh,75000,11
4712,chevrolet,silverado,2016,brown,gas,automatic,5.3,1.3659746702908744,eastern,75000,7
4713,toyota,rav4,2018,white,gas,automatic,2.7,0.0639082227372292,eastern,75000,5
4714,toyota,hilux,2020,white,gas,automatic,2.7,-0.5919474693638661,eastern,75000,3
4715,toyota,hilux,2017,white,gas,manual,2.7,-0.43762848298713786,eastern,76000,6
4716,ford,expedition,2016,gray,gas,automatic,5.4,0.42077087873341346,eastern,76000,7
4717,hyundai,santa fe,2016,gray,diesel,automatic,2.0,-0.2254398767191364,riyadh,76000,7
4718,ford,taurus,2019,white,gas,automatic,2.0,-0.37493639477159196,makkah,76000,4
4719,toyota,avalon,2015,white,gas,automatic,3.5,1.1634310006714184,riyadh,76000,8
4720,ford,taurus,2018,white,gas,automatic,3.5,-0.6112373426609572,eastern,76000,5
4721,toyota,camry,2018,brown,gas,automatic,2.5,0.4882854352732321,eastern,76000,5
4722,toyota,prado,2014,white,gas,automatic,2.7,0.6715392315955969,makkah,76000,9
4723,toyota,land cruiser,2009,white,gas,automatic,5.7,3.294961999999978,al-jouf,76000,14
4724,hyundai,tucson,2016,black,gas,automatic,2.0,-0.39904873639295574,riyadh,76000,7
4725,hyundai,kona,2022,white,gas,cvt,2.0,-1.0066797452513234,riyadh,76000,1
4726,toyota,innova,2020,gray,gas,automatic,2.7,-1.0013557402213265,riyadh,76500,3
4727,toyota,hilux,2018,white,gas,manual,2.7,-0.220058002069248,riyadh,76500,5
4728,chevrolet,caprice,2013,gray,gas,automatic,6.0,-0.3495509215126201,riyadh,76500,10
4729,ford,expedition,2014,gray,gas,automatic,5.4,-1.0772613916453797,riyadh,76500,9
4730,ford,taurus,2017,blue,gas,automatic,3.5,0.0006277933861220369,riyadh,76500,6
4731,toyota,innova,2017,white,gas,automatic,2.7,0.4550972082655869,riyadh,76500,6
4732,hyundai,azera,2019,white,gas,automatic,3.0,-0.6469814778804669,riyadh,76500,4
4733,ford,taurus,2018,white,gas,automatic,2.0,-0.44727341963568334,riyadh,77000,5
4734,hyundai,kona,2019,gray,gas,automatic,1.0,-1.0259696185484146,riyadh,77000,4
4735,toyota,fj,2013,brown,gas,automatic,1.0,0.24716201905959406,riyadh,77000,10
4736,ford,taurus,2018,white,gas,automatic,2.0,-0.553367722769684,riyadh,77000,5
4737,chevrolet,impala,2019,white,gas,automatic,3.6,-0.4279835463385923,riyadh,77000,4
4738,toyota,rav4,2018,white,gas,automatic,2.5,-0.38940379974441025,eastern,77000,5
4739,toyota,hilux,2016,white,gas,manual,2.7,0.44970568867905,makkah,77000,7
4740,toyota,hilux,2018,white,gas,manual,2.7,0.034973412791592634,riyadh,77000,5
4741,hyundai,azera,2018,red,gas,automatic,3.5,-0.5244329128240475,riyadh,77000,5
4742,chevrolet,caprice,2016,white,gas,automatic,6.2,0.2568069557081396,riyadh,77000,7
4743,toyota,camry,2017,white,gas,automatic,2.5,-0.6498170892551393,riyadh,77000,6
4744,toyota,camry,2020,gray,gas,automatic,2.5,-1.0259696185484146,riyadh,77000,3
4745,hyundai,genesis,2016,white,gas,automatic,3.8,1.0476917608888723,riyadh,77000,7
4746,chevrolet,impala,2019,white,gas,automatic,3.6,0.15071265257413888,eastern,77000,4
4747,toyota,hilux,2016,white,gas,manual,2.7,-0.5630126594182296,eastern,77000,7
4748,chevrolet,silverado,2018,gray,gas,automatic,5.3,-0.15792532017931776,eastern,77000,5
4749,ford,taurus,2016,white,gas,automatic,3.5,-0.05183101704531705,eastern,77000,7
4750,lexus,ls,2010,white,gas,automatic,1.8,-0.08076582699095361,makkah,77000,13
4751,toyota,rav4,2017,gray,gas,automatic,2.5,0.4400607520305045,makkah,77000,6
4752,ford,taurus,2018,black,gas,automatic,3.5,-0.20615000342204537,eastern,77000,5
4753,gmc,yukon,2014,white,gas,automatic,5.3,1.915736059257969,eastern,77000,9
4754,hyundai,azera,2019,white,gas,automatic,3.0,-0.6980417724978669,riyadh,77000,4
4755,ford,expedition,2015,white,gas,automatic,3.5,-0.16959569352405784,riyadh,77000,8
